"Site","Tag","Species","Family","WSG","HOM","DBH","Ht","Notes"
"AMA","0C0044","Rollinia amazonica","Annonaceae",0.580148637239165,4.17,505,32.6,""
"AMA","0Q0429","Guatteria puncticulata","Annonaceae",0.54,2.43,592,33.6,""
"AMA","0U0478","Guatteria puncticulata","Annonaceae",0.54,1.65,520,25,""
"AMA","0H0243","Rollinia amazonica","Annonaceae",0.580148637239165,2.8,603,32.7,""
"AMA","0Y0074","Aspidosperma excelsum","Apocynaceae",0.563472333887043,2.5,428,25.8,""
"AMA","0N0280","Tetragastris panamensis","Burseraceae",0.717333,4.34,605,28.4,""
"AMA","0K0395","Dendrobangia multinervia","Cardiopteridaceae",0.635333,2.08,411,30.43,"with 0K0394"
"AMA","0D0203","Licania micrantha","Chrysobalanaceae",0.836,1.53,491,35,""
"AMA","0D0136","Licania longistyla","Chrysobalanaceae",0.809515,5.67,665,34.4,""
"AMA","0K0217","Mahurea exstipulata","Clusiaceae",0.628382972012917,3.4,949,26.8,""
"AMA","0N0014","Sloanea floribunda","Elaeocarpaceae",0.624723,4.22,772,33.03,""
"AMA","0I0106","Sloanea sp.2","Elaeocarpaceae",0.586179827715356,1.82,230,19.03,""
"AMA","0C0178","Sloanea guianensis","Elaeocarpaceae",0.8212,7.17,622,35.6,""
"AMA","0H0016","Sloanea guianensis","Elaeocarpaceae",0.8212,6.34,758,34.6,""
"AMA","0O0573","Sapium sp.1","Euphorbiaceae",0.458469198435973,3.37,310,29.43,""
"AMA","0O0175","Campsiandra comosa","Fabaceae",0.691390843283582,3.11,368.28,24.03,""
"AMA","0R0237","Vataireopsis iglesiasii","Fabaceae",0.691390843283582,4.05,850,39.83,""
"AMA","0H0547","Cedrelinga cateniformis","Fabaceae",0.5038,1.96,814.24,36.63,""
"AMA","0W0280","Dicorynia paraensis","Fabaceae",0.691390843283582,3.2,398,31.83,""
"AMA","0T0188","Crudia glaberrima","Fabaceae-caesalpinioideae",0.653866477958237,4.52,795,28.43,""
"AMA","0M0104","Dialium guianense","Fabaceae-caesalpinioideae",0.896385,3.37,714,30.43,""
"AMA","0R0070","Dialium guianense","Fabaceae-caesalpinioideae",0.896385,3.55,344.09,26.43,""
"AMA","0U0057","Tachigali sp.3","Fabaceae-caesalpinioideae",0.653866477958237,4.5,680,33.83,""
"AMA","0U0536","Abarema jupunba","Fabaceae-mimosoideae",0.585143,1.8,695,35.4,""
"AMA","0V0330","Parkia multijuga","Fabaceae-mimosoideae",0.399,3.208,893,37.2,""
"AMA","0X0089","Parkia multijuga","Fabaceae-mimosoideae",0.399,3.36,881,34.6,""
"AMA","0G0380","Parkia multijuga","Fabaceae-mimosoideae",0.399,2.71,770,35.23,""
"AMA","0N0353","Parkia multijuga","Fabaceae-mimosoideae",0.399,3.63,764,32.43,""
"AMA","0R0454","Dipteryx magnifica","Fabaceae-papilionoideae",0.678611364167478,4.28,659,34.23,""
"AMA","0R0201","Swartzia oraria","Fabaceae-papilionoideae",0.678611364167478,4.35,402,24.83,""
"AMA","0E0541","Vitex orinocensis","Lamiaceae",0.526667,6.48,825,27.03,""
"AMA","0O0391","Vitex orinocensis","Lamiaceae",0.526667,3.89,662,25.43,""
"AMA","0B0279","Eschweilera coriacea","Lecythidaceae",0.852083,4.62,297,23,""
"AMA","0D0527","Eschweilera coriacea","Lecythidaceae",0.852083,1.97,344,24.43,""
"AMA","0T0248","Eschweilera coriacea","Lecythidaceae",0.852083,3.05,318,27.23,""
"AMA","0G0189","Eschweilera coriacea","Lecythidaceae",0.852083,3.65,385,25.6,""
"AMA","0H0400","Eschweilera coriacea","Lecythidaceae",0.852083,3.75,644,33.83,"with 0H0401"
"AMA","0Q0190","Eschweilera coriacea","Lecythidaceae",0.852083,3.57,286,19.43,""
"AMA","0C0258","Eschweilera coriacea","Lecythidaceae",0.852083,4.95,431,24.63,""
"AMA","0M0030","Eschweilera itayensis","Lecythidaceae",0.828119,4.1,614.34,32.23,""
"AMA","0L0502","Eschweilera coriacea","Lecythidaceae",0.852083,3.54,575,21.6,""
"AMA","0A0212","Eschweilera coriacea","Lecythidaceae",0.852083,5.26,431,28.23,""
"AMA","0S0264","Eschweilera coriacea","Lecythidaceae",0.852083,4,480,26.83,""
"AMA","0U0359","Eschweilera coriacea","Lecythidaceae",0.852083,3.6,309,19.03,""
"AMA","0S0081","Eschweilera itayensis","Lecythidaceae",0.828119,3.1,810,32.6,""
"AMA","0G0372","Eschweilera coriacea","Lecythidaceae",0.852083,2.42,466,35.23,""
"AMA","0N0151","Eschweilera itayensis","Lecythidaceae",0.828119,5.99,688,28.43,"Interrupted by rain- finished later"
"AMA","0P0408","Eschweilera itayensis","Lecythidaceae",0.828119,3.05,460.59,24.8,""
"AMA","0C0130","Eschweilera gigantea","Lecythidaceae",0.78,5.05,513,35.8,""
"AMA","0M0513","Eschweilera gigantea","Lecythidaceae",0.78,2.08,453,35.83,"Leaning ~ 45 degrees"
"AMA","0V0062","Eschweilera itayensis","Lecythidaceae",0.828119,4.2,820,33.23,""
"AMA","0T0368","Eschweilera itayensis","Lecythidaceae",0.828119,2.05,468,27.03,""
"AMA","0F0468","Eschweilera coriacea","Lecythidaceae",0.852083,4.51,350,20.03,""
"AMA","0I0439","Eschweilera coriacea","Lecythidaceae",0.852083,3.25,357,25.43,""
"AMA","0N0413","Eschweilera coriacea","Lecythidaceae",0.852083,2.91,343,24.83,""
"AMA","0Q0327","Eschweilera coriacea","Lecythidaceae",0.852083,2.25,343,24.03,""
"AMA","0D0083","Eschweilera rufifolia","Lecythidaceae",0.828119,4.36,437,29.7,""
"AMA","0A0037","Apeiba tibourbou","Malvaceae",0.2,1.95,490.83,20,""
"AMA","0Q0301","Pachira insignis","Malvaceae",0.384,2.2,609,28.43,""
"AMA","0D0369","Sterculia apeibophylla","Malvaceae",0.47,5.68,403,24.6,""
"AMA","0K0110","Mollia gracilis","Malvaceae",0.49,2.338,427.17,29.03,""
"AMA","0S0029","Ceiba pentandra","Malvaceae",0.305149,3.6,773,33.63,""
"AMA","0G0566","Guarea trunciflora","Meliaceae",0.560551,5.88,543,24.43,""
"AMA","0L0291","Brosimum parinarioides","Moraceae",0.630625,1.52,832,37.23,""
"AMA","0W0197","Brosimum lactescens","Moraceae",0.6556,1.75,367.32,18.63,""
"AMA","0C0486","Pseudolmedia laevis","Moraceae",0.618444,1.72,326.27,24.63,""
"AMA","0W0444","Sorocea steinbachii","Moraceae",0.608333,2.9,276,19.03,""
"AMA","0O0051","Pseudolmedia laevis","Moraceae",0.618444,2.32,516,31.2,""
"AMA","0D0001","Castilla ulei","Moraceae",0.437,1.73,369,23.83,""
"AMA","0K0261","Pseudolmedia laevis","Moraceae",0.618444,2.44,449,34.23,""
"AMA","0M0451","Brosimum potabile","Moraceae",0.530615171460801,1.51,595.9,29.6,""
"AMA","0K0486","Virola pavonis","Myristicaceae",0.586667,3.27,303,25.83,""
"AMA","0W0568","Virola pavonis","Myristicaceae",0.586667,1.69,282.66,23.03,""
"AMA","0Y0610","Virola pavonis","Myristicaceae",0.586667,2.17,353,24.23,""
"AMA","0C0543","Osteophloeum platyspermum","Myristicaceae",0.465857,5.42,572.32,34.6,""
"AMA","0P0015","Virola pavonis","Myristicaceae",0.586667,2.35,472,29.23,""
"AMA","0K0516","Virola duckei","Myristicaceae",0.473016,3.84,602,33.43,""
"AMA","0E0400","Iryanthera laevis","Myristicaceae",0.615,6.22,494.65,21.63,""
"AMA","0I0429","Minquartia guianensis","Olacaceae",0.786714,2.32,253,17.43,"Missing tag"
"AMA","0O0210","Minquartia guianensis","Olacaceae",0.786714,2.75,264,16.83,""
"AMA","0N0571","Richeria sp.","Phyllanthaceae",0.612984479564033,1.6,574,32,""
"AMA","0A0236","Chimarrhis glabriflora","Rubiaceae",0.7115,1.85,310,29,""
"AMA","0K0394","Faramea glandulosa","Rubiaceae",0.587889,2.39,215,16.03,"with 0K0395"
"AMA","0D0476","Meliosma sp.","Sabiaceae",0.495942955223881,4.8,530,34.63,""
"AMA","0J0498","Banara nitida","Salicaceae",0.6015,3.53,359,21.8,""
"AMA","0K0378","Pouteria williamii","Sapotaceae",0.714372,1.7,225,21.43,""
"AMA","0N0277","Micropholis sp.1","Sapotaceae",0.705353925143954,3.63,442,28.6,""
"AMA","0I0276","Pouteria cladantha","Sapotaceae",0.942333,1.69,311,24.2,""
"AMA","0Y0252","Pouteria guianensis","Sapotaceae",0.9295,3.8,534,25.83,""
"AMA","0D0392","Pouteria baehniana","Sapotaceae",0.714372,1.6,512,24.43,""
"AMA","0Q0007","Unidentified sp.5","Unknown",0.609402410462777,4.14,535,31.8,""
"AMA","0M0515","Pourouma minor","Urticaceae",0.436,3.48,855,28.03,""
"AMA","0H0401","Cecropia sciadophylla","Urticaceae",0.386857,1.65,189.39,26.43,"with 0H0400"
"AMA","0E0431","Pourouma minor","Urticaceae",0.436,3.9,382,24,""
"BCI","4934","alchco","Euphorbiaceae",0.301,3.200000048,809,32.3,""
"BCI","6554","alsebl","Rubiaceae",0.536,3,302,17.1,"stem forks at top"
"BCI","5227","alsebl","Rubiaceae",0.536,3.6,338,24,""
"BCI","359","alsebl","Rubiaceae",0.536,3.400000095,481,24.7,""
"BCI","7577","alsebl","Rubiaceae",0.536,3.5,311,25.5,""
"BCI","217098","alsebl","Rubiaceae",0.536,4,225,17.9,"stem forks at top"
"BCI","389","alsebl","Rubiaceae",0.536,4,536,22.1,""
"BCI","328","alsebl","Rubiaceae",0.536,3.5,536,27.9,""
"BCI","6466","alsebl","Rubiaceae",0.536,5.199999809,712,20.9,""
"BCI","7680","apeime","Malvaceae",0.278333,3.799999952,730,30.1,""
"BCI","2121","aspicr","Apocynaceae",0.753333,6,770,36.1,""
"BCI","5221","ast2gr","Anacardiaceae",0.868143,4.449999809,842,39.1,""
"BCI","333","beilpe","Lauraceae",0.507,5.300000191,665,32.5,""
"BCI","6876","beilpe","Lauraceae",0.507,3,710,28.1,""
"BCI","1311","beilpe","Lauraceae",0.507,4,622,27.1,""
"BCI","4413","beilpe","Lauraceae",0.507,3.200000048,596,25.9,""
"BCI","4072","beilpe","Lauraceae",0.507,3.5,668,32.1,""
"BCI","4524","brosal","Moraceae",0.60775,8,956,36.1,""
"BCI","1497","brosal","Moraceae",0.60775,3.900000095,720,33.9,""
"BCI","1730","brosal","Moraceae",0.60775,6.5,1090,43.3,""
"BCI","1274","brosal","Moraceae",0.60775,5.400000095,725,36.1,""
"BCI","3628","cavapl","Malvaceae",0.36,3.299999952,2172,42.9,""
"BCI","427","cavapl","Malvaceae",0.36,3.450000048,1370,36.3,""
"BCI","3008","cavapl","Malvaceae",0.36,3,1693,36.1,""
"BCI","1158","ceibpe","Malvaceae",0.305149,15.5,2200,44.6,"measured above 8 m"
"BCI","7163","ceibpe","Malvaceae",0.305149,7.5,1670,40.8,""
"BCI","6883","ceibpe","Malvaceae",0.305149,6.099999905,1890,41.5,"measured above 8 m"
"BCI","5213","ceibpe","Malvaceae",0.305149,11.35000038,2085,39.9,"measured above 8 m"
"BCI","5444","ceibpe","Malvaceae",0.305149,4.900000095,926,31.9,""
"BCI","2999","ceibpe","Malvaceae",0.305149,10.60000038,1712,42.7,"measured above 8 m"
"BCI","503","ceibpe","Malvaceae",0.305149,7.050000191,1920,38.7,"measured above 8 m"
"BCI","7772","ceibpe","Malvaceae",0.305149,6.900000095,1483,37.9,""
"BCI","3223","ceibpe","Malvaceae",0.305149,10.5,1660,43.7,"measured above 8 m"
"BCI","202624","chimpa","Rubiaceae",0.7115,1.799999952,189,11.9,"stem forks at top"
"BCI","259","chr2ar","Sapotaceae",0.764833,3.2,426,27.8,""
"BCI","4898","chr2ca","Sapotaceae",0.655,6.400000095,747,27.3,""
"BCI","2673","chr2ca","Sapotaceae",0.655,6.099999905,947,32.5,""
"BCI","269450","cordal","Boraginaceae",0.517429,3.5,409,15.1,""
"BCI","7715","diptpa","Fabaceae-papilionoideae",0.848333,4.849999905,1212,35.9,""
"BCI","5703","diptpa","Fabaceae-papilionoideae",0.848333,4,626,34.9,""
"BCI","7221","diptpa","Fabaceae-papilionoideae",0.848333,5.300000191,695,36.1,""
"BCI","1342","diptpa","Fabaceae-papilionoideae",0.848333,5,1645,48.5,""
"BCI","5440","diptpa","Fabaceae-papilionoideae",0.848333,3.900000095,935,33.7,""
"BCI","684","diptpa","Fabaceae-papilionoideae",0.848333,5.199999809,829,34.5,""
"BCI","3275-2","drypst","Putranjivaceae",0.675,4,259,22.9,""
"BCI","3275-1","drypst","Putranjivaceae",0.675,3.950000048,643,25.7,""
"BCI","1878","guapst","Nyctaginaceae",0.5994,4.449999809,601,28.7,""
"BCI","2500","guapst","Nyctaginaceae",0.5994,3.200000048,772,33.9,""
"BCI","2660","guargr","Meliaceae",0.545,3.099999905,853,31.3,""
"BCI","5863","guargu","Meliaceae",0.567514,3,298,16,""
"BCI","6798","guatdu","Annonaceae",0.466,3.200000048,513,16.9,"dead, standing, broken"
"BCI","3525","huracr","Euphorbiaceae",0.367333,3,747,25.5,"stem forks at top"
"BCI","1046","huracr","Euphorbiaceae",0.367333,3.200000048,687,27.9,""
"BCI","3765","huracr","Euphorbiaceae",0.367333,5.550000191,1600,35.7,""
"BCI","888","huracr","Euphorbiaceae",0.367333,3.5,835,32.1,""
"BCI","1382","huracr","Euphorbiaceae",0.367333,5.099999905,973,10.9,"broken, resprouting"
"BCI","1333","huracr","Euphorbiaceae",0.367333,3,1845,36.6,""
"BCI","3107","hyeral","Euphorbiaceae",0.509083,4,840,31.5,""
"BCI","7383","jac1co","Bignoniaceae",0.350667,3,705,33.6,""
"BCI","7700","jac1co","Bignoniaceae",0.350667,4,555,27.7,""
"BCI","6738","jac1co","Bignoniaceae",0.350667,3,749,35.9,""
"BCI","3913","jac1co","Bignoniaceae",0.350667,3,795,31.8,""
"BCI","6602","luehse","Malvaceae",0.417,4,750,22.3,""
"BCI","3432","luehse","Malvaceae",0.417,4.199999809,534,18.3,""
"BCI","422840-1","ocotob","Lauraceae",0.3855,4,455,22.1,""
"BCI","422840-2","ocotob","Lauraceae",0.3855,4,195,15.1,""
"BCI","2208","ocotwh","Lauraceae",0.525773,3.799999952,843,24.1,""
"BCI","4394","pla1pi","Fabaceae-papilionoideae",0.72125,3,777,24.1,""
"BCI","3258","pla1pi","Fabaceae-papilionoideae",0.72125,4.650000095,628,31.1,""
"BCI","4031","pla1pi","Fabaceae-papilionoideae",0.72125,3.5,705,39.3,""
"BCI","3403","pla1pi","Fabaceae-papilionoideae",0.72125,3.6,537,29.4,""
"BCI","2059","pla2el","Fabaceae-papilionoideae",0.80575,3.5,1344,33.5,""
"BCI","4391","pla2el","Fabaceae-papilionoideae",0.80575,3,970,38.1,""
"BCI","3444","poutre","Sapotaceae",0.794,3.700000048,606,27.9,""
"BCI","5463","poutre","Sapotaceae",0.794,4.599999905,618,21.7,""
"BCI","5906","pri2co","Fabaceae-caesalpinioideae",0.413571,3,725,37.8,""
"BCI","6257","pri2co","Fabaceae-caesalpinioideae",0.413571,6,1030,33.1,""
"BCI","141","pri2co","Fabaceae-caesalpinioideae",0.413571,3.299999952,943,42.5,""
"BCI","5060","pri2co","Fabaceae-caesalpinioideae",0.413571,3,893,33.9,""
"BCI","5293","pri2co","Fabaceae-caesalpinioideae",0.413571,3.700000048,1069,32.9,""
"BCI","8427","quaras","Malvaceae",0.454,2.700000048,368,24.1,""
"BCI","3231","quaras","Malvaceae",0.454,6.5,754,32,""
"BCI","4060","quaras","Malvaceae",0.454,6.5,575,26.5,""
"BCI","7792","quaras","Malvaceae",0.454,7,469,21.3,""
"BCI","2109","quaras","Malvaceae",0.454,4,743,27.7,""
"BCI","2120","quaras","Malvaceae",0.454,4,600,26.7,""
"BCI","5900","quaras","Malvaceae",0.454,6.150000095,665,21.1,""
"BCI","3635","quaras","Malvaceae",0.454,6.099999905,728,32.5,""
"BCI","3172","quaras","Malvaceae",0.454,4.949999809,435,20.1,""
"BCI","1101","quaras","Malvaceae",0.454,4,530,24.9,""
"BCI","396","quaras","Malvaceae",0.454,6.099999905,618,24.7,""
"BCI","935","quaras","Malvaceae",0.454,7.449999809,1082,36.3,""
"BCI","1036","quaras","Malvaceae",0.454,5.199999809,458,30.3,""
"BCI","5752","quaras","Malvaceae",0.454,3,385,24.2,""
"BCI","6336","sloate","Elaeocarpaceae",0.624723,5.800000191,883,35.7,""
"BCI","3208","sloate","Elaeocarpaceae",0.624723,3,1247,32.3,""
"BCI","7062","sloate","Elaeocarpaceae",0.624723,3.349999905,270,18.5,""
"BCI","3479","sponmo","Anacardiaceae",0.390706,4.75,928,29.9,""
"BCI","2254","tab1ro","Bignoniaceae",0.5305,6.5,800,44,""
"BCI","66360","tachve","Fabaceae-caesalpinioideae",0.521,4,791,31.1,""
"BCI","198815","termam","Combretaceae",0.6735,3,372,24.5,"stem forks at top"
"BCI","3696","termob","Combretaceae",0.694167,6.199999809,688,36.1,""
"BCI","142","tet2pa","Burseraceae",0.717333,4,479,22.3,"stem forks at top"
"BCI","3780","tet2pa","Burseraceae",0.717333,4,570,23.7,"stem forks at top"
"BCI","2144","tri2tu","Meliaceae",0.6275,3.599999905,434,20.5,""
"BCI","5216","tri2tu","Meliaceae",0.6275,3,334,18.5,""
"BCI","4964","virosu","Myristicaceae",0.417909,4.6,560,35.6,""
"BCI","5095","virosu","Myristicaceae",0.417909,4.599999905,984,39.9,""
"BCI","8176","virosu","Myristicaceae",0.417909,7.5,659,29.7,""
"BCI","5738","virosu","Myristicaceae",0.417909,3,634,11.9,"broken, resprouting"
"BKT","6176","SWINSC","Anacardiaceae",0.627444,6,1000,55.4,""
"BKT","9380","SPATCA","Bignoniaceae",0.34396,2,490,15.2,""
"BKT","1165","BHESRO","Celastraceae",0.655,2.3,650,28.4,""
"BKT","2111","GARCPA","Clusiaceae",0.435,1.6,460,19.4,""
"BKT","22","TERMSU","Combretaceae",0.54,5,750,38.8,""
"BKT","1331","DILLGR","Dilleniaceae",0.65,1.9,460,28.6,""
"BKT","889","DILLGR","Dilleniaceae",0.65,4,640,32,""
"BKT","2020","HOPEGR","Dipterocarpaceae",0.665,4,520,36.4,"top broken"
"BKT","1697","SHORCU","Dipterocarpaceae",0.526667,2.4,1290,45.4,""
"BKT","3893","HOPEFG","Dipterocarpaceae",0.600514971311475,1.8,470,34.8,""
"BKT","655","SHORCU","Dipterocarpaceae",0.526667,2,810,48.8,""
"BKT","2024","SHORCU","Dipterocarpaceae",0.526667,2,990,38.4,""
